file_name	seed	formula_x	formula_y
2020-12-12-17-15_seed_7428.png	7428	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-16_seed_1613.png	1613	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-16_seed_1137.png	1137	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-17_seed_6449.png	6449	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-17_seed_7599.png	7599	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-18_seed_264.png	264	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-18_seed_1727.png	1727	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-19_seed_455.png	455	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-19_seed_9086.png	9086	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-20_seed_2401.png	2401	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-20_seed_6535.png	6535	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - cos(x_i^4)
2020-12-12-17-21_seed_8017.png	8017	runif(1, -1, 1) * x_i^2 - sin(y_i^5)	runif(1, -1, 1) * y_i^2 - cos(x_i^5)
2020-12-12-17-35_seed_2387.png	2387	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-36_seed_9985.png	9985	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-37_seed_5861.png	5861	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-37_seed_172.png	172	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-38_seed_3101.png	3101	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-39_seed_7953.png	7953	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-39_seed_2743.png	2743	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-40_seed_8524.png	8524	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-40_seed_6087.png	6087	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-41_seed_8325.png	8325	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-41_seed_5585.png	5585	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-42_seed_1844.png	1844	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-43_seed_7218.png	7218	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-43_seed_5172.png	5172	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-44_seed_1802.png	1802	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-44_seed_8220.png	8220	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-45_seed_9042.png	9042	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-45_seed_6422.png	6422	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-46_seed_6498.png	6498	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-46_seed_6843.png	6843	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-17-47_seed_4282.png	4282	runif(1, -1, 1) * x_i^3 - sin(y_i^5)	runif(1, -1, 1) * y_i^3 - cos(x_i^5)
2020-12-12-20-15_seed_7983.png	7983	runif(1, -1, 1) * x_i^3 - sin(y_i^6)	runif(1, -1, 1) * y_i^3 - cos(x_i^6)
2020-12-12-20-16_seed_9675.png	9675	runif(1, -1, 1) * x_i^3 - sin(y_i^6)	runif(1, -1, 1) * y_i^3 - cos(x_i^6)
